,000001.SZ
2018-02-01,106.3088
2018-02-02,106.3088
2018-02-05,106.3088
2018-02-06,106.3088
2018-02-07,106.3088
2018-02-08,106.3088
2018-02-09,106.3088
2018-02-12,106.3088
2018-02-13,106.3088
2018-02-14,106.3088
2018-02-22,106.3088
2018-02-23,106.3088
2018-02-26,106.3088
2018-02-27,106.3088
2018-02-28,106.3088
2018-03-01,106.3088
2018-03-02,106.3088
2018-03-05,106.3088
2018-03-06,106.3088
2018-03-07,106.3088
2018-03-08,106.3088
2018-03-09,106.3088
2018-03-12,106.3088
2018-03-13,106.3088
2018-03-14,106.3088
2018-03-15,106.3088
2018-03-16,106.3088
2018-03-19,106.3088
2018-03-20,106.3088
2018-03-21,106.3088
2018-03-22,106.3088
2018-03-23,106.3088
2018-03-26,106.3088
2018-03-27,106.3088
2018-03-28,106.3088
2018-03-29,106.3088
2018-03-30,106.3088
2018-04-02,106.3088
2018-04-03,106.3088
2018-04-04,106.3088
2018-04-09,106.3088
2018-04-10,106.3088
2018-04-11,106.3088
2018-04-12,106.3088
2018-04-13,106.3088
2018-04-16,106.3088
2018-04-17,106.3088
2018-04-18,106.3088
2018-04-19,106.3088
2018-04-20,106.3088
2018-04-23,106.3088
2018-04-24,106.3088
2018-04-25,106.3088
2018-04-26,106.3088
2018-04-27,106.3088
2018-05-02,106.3088
2018-05-03,106.3088
2018-05-04,106.3088
2018-05-07,106.3088
2018-05-08,106.3088
2018-05-09,106.3088
2018-05-10,106.3088
2018-05-11,106.3088
2018-05-14,106.3088
2018-05-15,106.3088
2018-05-16,106.3088
2018-05-17,106.3088
2018-05-18,106.3088
2018-05-21,106.3088
2018-05-22,106.3088
2018-05-23,106.3088
2018-05-24,106.3088
2018-05-25,106.3088
2018-05-28,106.3088
2018-05-29,106.3088
2018-05-30,106.3088
2018-05-31,106.3088
2018-06-01,106.3088
2018-06-04,106.3088
2018-06-05,106.3088
2018-06-06,106.3088
2018-06-07,106.3088
2018-06-08,106.3088
2018-06-11,106.3088
2018-06-12,106.3088
2018-06-13,106.3088
2018-06-14,106.3088
2018-06-15,106.3088
2018-06-19,106.3088
2018-06-20,106.3088
2018-06-21,106.3088
2018-06-22,106.3088
2018-06-25,106.3088
2018-06-26,106.3088
2018-06-27,106.3088
2018-06-28,106.3088
2018-06-29,106.3088
2018-07-02,106.3088
2018-07-03,106.3088
2018-07-04,106.3088
2018-07-05,106.3088
2018-07-06,106.3088
2018-07-09,106.3088
2018-07-10,106.3088
2018-07-11,106.3088
2018-07-12,108.0314
2018-07-13,108.0314
2018-07-16,108.0314
2018-07-17,108.0314
2018-07-18,108.0314
2018-07-19,108.0314
2018-07-20,108.0314
2018-07-23,108.0314
2018-07-24,108.0314
2018-07-25,108.0314
2018-07-26,108.0314
2018-07-27,108.0314
2018-07-30,108.0314
2018-07-31,108.0314
2018-08-01,108.0314
2018-08-02,108.0314
2018-08-03,108.0314
2018-08-06,108.0314
2018-08-07,108.0314
2018-08-08,108.0314
2018-08-09,108.0314
2018-08-10,108.0314
2018-08-13,108.0314
2018-08-14,108.0314
2018-08-15,108.0314
2018-08-16,108.0314
2018-08-17,108.0314
2018-08-20,108.0314
2018-08-21,108.0314
2018-08-22,108.0314
2018-08-23,108.0314
2018-08-24,108.0314
2018-08-27,108.0314
