,000001.SZ
2018-03-14,11.92
2018-03-15,11.71
2018-03-16,11.64
2018-03-19,11.83
2018-03-20,11.82
2018-03-21,11.9
2018-03-22,11.66
2018-03-23,11.34
2018-03-26,10.93
2018-03-27,10.94
2018-03-28,10.89
2018-03-29,11.05
2018-03-30,10.9
2018-04-02,10.71
2018-04-03,10.56
2018-04-04,10.87
2018-04-09,11.02
2018-04-10,11.42
2018-04-11,11.83
2018-04-12,11.52
2018-04-13,11.57
2018-04-16,11.1
2018-04-17,11.21
2018-04-18,11.5
2018-04-19,11.47
2018-04-20,11.35
2018-04-23,11.57
2018-04-24,11.86
2018-04-25,11.68
2018-04-26,11.42
2018-04-27,10.85
2018-05-02,10.88
2018-05-03,10.75
2018-05-04,10.68
2018-05-07,10.81
2018-05-08,11.01
2018-05-09,10.97
2018-05-10,11.01
2018-05-11,11.01
2018-05-14,11.18
2018-05-15,11.12
2018-05-16,10.9
2018-05-17,10.82
2018-05-18,10.96
2018-05-21,10.95
2018-05-22,10.86
2018-05-23,10.65
2018-05-24,10.61
2018-05-25,10.59
2018-05-28,10.59
2018-05-29,10.38
2018-05-30,10.08
2018-05-31,10.18
2018-06-01,10.19
2018-06-04,10.27
2018-06-05,10.26
2018-06-06,10.14
2018-06-07,10.37
2018-06-08,10.12
2018-06-11,10.04
2018-06-12,10.06
2018-06-13,9.95
2018-06-14,10.07
2018-06-15,10.17
2018-06-19,9.87
2018-06-20,9.91
2018-06-21,9.86
2018-06-22,9.85
2018-06-25,9.46
2018-06-26,9.36
2018-06-27,9.09
2018-06-28,8.92
2018-06-29,9.09
2018-07-02,8.61
2018-07-03,8.67
2018-07-04,8.61
2018-07-05,8.6
2018-07-06,8.66
2018-07-09,9.03
2018-07-10,8.98
2018-07-11,8.78
2018-07-12,8.88
2018-07-13,8.88
2018-07-16,8.73
2018-07-17,8.72
2018-07-18,8.7
2018-07-19,8.73
2018-07-20,9.11
2018-07-23,9.42
2018-07-24,9.4
2018-07-25,9.38
2018-07-26,9.25
2018-07-27,9.25
2018-07-30,9.39
2018-07-31,9.42
2018-08-01,9.15
2018-08-02,8.94
2018-08-03,8.91
2018-08-06,8.94
2018-08-07,9.17
2018-08-08,9.05
2018-08-09,9.29
2018-08-10,9.23
2018-08-13,9.05
2018-08-14,9.0
2018-08-15,8.79
2018-08-16,8.78
2018-08-17,8.81
2018-08-20,9.0
2018-08-21,9.23
2018-08-22,9.29
2018-08-23,9.36
2018-08-24,10.03
2018-08-27,10.43
2018-08-28,10.29
2018-08-29,10.27
2018-08-30,10.12
2018-08-31,10.13
2018-09-03,10.19
2018-09-04,10.43
2018-09-05,10.05
2018-09-06,9.97
2018-09-07,10.01
2018-09-10,9.88
2018-09-11,9.91
2018-09-12,9.88
2018-09-13,9.96
2018-09-14,9.84
2018-09-17,9.69
2018-09-18,10.08
2018-09-19,10.24
2018-09-20,10.23
2018-09-21,10.67
2018-09-25,10.55
2018-09-26,10.71
2018-09-27,10.74
2018-09-28,11.05
